,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
0,1996,Station 54,Carlow Town,52.839751,-6.931922,EPA-54,EPA-54,0000-00-00,23,333523250,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333523250, 'monitor_id': 1996, 'project_id': 2399, 'recorded_at': '2022-03-24 09:30:00', 'pm10': 32.15, 'pm2_5': 25.12, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:30', 'secs_since': 2658, 'time_since': '44 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 32.2, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 23.48, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66654,2,333523250,2399,24/03/2022 09:30,32.15,25.12,,,,,24/03/2022,09:30,2658,44 mins,green
1,2245,Station 78,Cavan Town,53.99356,-7.3628,EPA-78,EPA-78,0000-00-00,23,333519261,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519261, 'monitor_id': 2245, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 19.06, 'pm2_5': 16.42, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4458, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 25.55, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 18.39, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",55730,2,333519261,2399,24/03/2022 09:00,19.06,16.42,,,,,24/03/2022,09:00,4458,1 hour,green
2,1973,Station 25,"Ennis, Co. Clare",52.843206,-8.989332,EPA-25,EPA-25,0000-00-00,25,333020728,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333020728, 'monitor_id': 1973, 'project_id': 2399, 'recorded_at': '2022-03-22 23:00:00', 'pm10': 27.4384, 'pm2_5': 22.6325, 'no2': None, 'o3': None, 'so2': 5.7328, 'co': None, 'date': '22-03-2022', 'time': '23:00', 'secs_since': 126858, 'time_since': '1 day', 'status': 'red'}","{'pm10': {'start': '2022-03-21 23:01:00', 'end': '2022-03-22 23:00:00', 'value': 23.1, 'num_readings': 96, 'percentage_capture': 100}, 'pm2_5': {'start': '2022-03-21 23:01:00', 'end': '2022-03-22 23:00:00', 'value': 17.28, 'num_readings': 96, 'percentage_capture': 100}, 'so2': {'start': '2022-03-22 22:01:00', 'end': '2022-03-22 23:00:00', 'value': 6.28, 'num_readings': 4, 'percentage_capture': 100}}",62256,1,333020728,2399,22/03/2022 23:00,27.4384,22.6325,,,5.7328,,22/03/2022,23:00,126858,1 day,green
3,2082,TNO3947,"Ennistymon, Co. Clare",52.9404719,-9.2944376,TNO3947,TNO3947,0000-00-00,19,333532479,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333532479, 'monitor_id': 2082, 'project_id': 2497, 'recorded_at': '2022-03-24 10:00:00', 'pm10': 9.1, 'pm2_5': 8.25, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '10:00', 'secs_since': 858, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 16.02, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 11.52, 'num_readings': 95, 'percentage_capture': 98, 'rating': 2}}",76551,2,333532479,2497,24/03/2022 10:00,9.1,8.25,,,,,24/03/2022,10:00,858,14 mins,green
4,2002,Station 60,"Cobh Carrignafoy, Co. Cork",51.855057,-8.287827,EPA-60,EPA-60,0000-00-00,23,333531004,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333531004, 'monitor_id': 2002, 'project_id': 2399, 'recorded_at': '2022-03-24 08:45:00', 'pm10': 25.0565, 'pm2_5': 18.9044, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '08:45', 'secs_since': 5358, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 08:01:00', 'end': '2022-03-24 08:00:00', 'value': 26.63, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 08:01:00', 'end': '2022-03-24 08:00:00', 'value': 19.38, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66694,2,333531004,2399,24/03/2022 08:45,25.0565,18.9044,,,,,24/03/2022,08:45,5358,1 hour,green
5,1978,Station 30 (Ozone Instrument Issue),Munster Technological University,51.88411,-8.533192,EPA-30,EPA-30,0000-00-00,25,333519155,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519155, 'monitor_id': 1978, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 15.525, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 0.5322, 'co': None, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4458, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 27.95, 'num_readings': 23, 'percentage_capture': 23, 'rating': 0}, 'so2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 0.53, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",62989,2,333519155,2399,24/03/2022 09:00,15.525,,,,0.5322,,24/03/2022,09:00,4458,1 hour,green
6,2014,Station 72,Cork Harbour,51.849479,-8.297432,EPA-72,EPA-72,0000-00-00,25,333519241,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519241, 'monitor_id': 2014, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 29.9329, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 15.3948, 'co': None, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4459, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 36.42, 'num_readings': 24, 'percentage_capture': 25, 'rating': 0}, 'so2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 15.27, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66657,3,333519241,2399,24/03/2022 09:00,29.9329,,,,15.3948,,24/03/2022,09:00,4459,1 hour,green
7,3786,Station 104,Cork Lower Glanmire Road,51.902915,-8.444393,EPA-104,EPA-104,0000-00-00,25,333221710,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333221710, 'monitor_id': 3786, 'project_id': 2399, 'recorded_at': '2022-03-23 13:00:00', 'pm10': None, 'pm2_5': None, 'no2': 116.514, 'o3': 46.6927, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '13:00', 'secs_since': 76459, 'time_since': '21 hours', 'status': 'orange'}","{'o3': {'start': '2022-03-23 05:01:00', 'end': '2022-03-23 13:00:00', 'value': 34.6, 'num_readings': 32, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-23 12:01:00', 'end': '2022-03-23 13:00:00', 'value': 88.72, 'num_readings': 4, 'percentage_capture': 100, 'rating': 2}}",3924,2,333221710,2399,23/03/2022 13:00,,,116.514,46.6927,,,23/03/2022,13:00,76459,21 hours,orange
8,1963,Station 10,"Heatherton Park, Cork",51.881867,-8.457129,EPA-10,EPA-10,0000-00-00,23,333523249,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333523249, 'monitor_id': 1963, 'project_id': 2399, 'recorded_at': '2022-03-24 09:30:00', 'pm10': 15.23, 'pm2_5': 12.75, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:30', 'secs_since': 2659, 'time_since': '44 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 26.63, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 20.55, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",57867,2,333523249,2399,24/03/2022 09:30,15.23,12.75,,,,,24/03/2022,09:30,2659,44 mins,green
9,2009,Station 67,"Macroom, Co. Cork",51.904843,-8.95249,EPA-67,EPA-67,0000-00-00,25,333519232,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519232, 'monitor_id': 2009, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 15.71, 'pm2_5': 12.35, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4459, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 33.96, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 26.11, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}}",66657,3,333519232,2399,24/03/2022 09:00,15.71,12.35,,,,,24/03/2022,09:00,4459,1 hour,green
