location,Site,daily max mean,population
Ennis,EPA-25,99.57333333,25360
Edenderry,EPA-102,95.01,6977
Waterford,EPA-59,77.05708333,51519
Longford Town,EPA-43,71.26666667,9601
Enniscorthy,EPA-24,65.26333333,10838
Letterkenny,EPA-64,60.48375,15387
Wexford,EPA-63,57.5025,20072
Macroom,EPA-67,55.59208333,3879
Tipperary Town,EPA-66,55.41625,5310
Tralee,EPA-71,55.09666667,23693
Athlone,EPA-70,45.50916667,20153
Inchicore,EPA-49,42.225,527612
Limerick,EPA-39,38.62958333,57106
Naas,EPA-83,38.5575,20713
Rathmines,EPA-22,36.25833333,527612
Mallow,EPA-82,35.87208333,11605
Limerick,EPA-85,34.315,57106
Portlaoise,EPA-16,33.00916667,20145
Banagher,TNO4465,23.95333333,1653
Leixlip,EPA-106,20.50625,15452
