,Date and Time,PM10,PM2.5,SO2,Site,location
430,31/03/2021 22:00,20.15,16.49,,EPA-10,"Heatherton Park, Cork"
431,31/03/2021 23:00,18.67,15.3,,EPA-10,"Heatherton Park, Cork"
432,01/04/2021 00:00,17.71,16.16,,EPA-10,"Heatherton Park, Cork"
433,01/04/2021 01:00,13.78,11.56,,EPA-10,"Heatherton Park, Cork"
434,01/04/2021 02:00,16.57,13.95,,EPA-10,"Heatherton Park, Cork"
435,01/04/2021 03:00,18.13,15.36,,EPA-10,"Heatherton Park, Cork"
436,01/04/2021 04:00,28.32,21.59,,EPA-10,"Heatherton Park, Cork"
437,01/04/2021 05:00,20.88,17.58,,EPA-10,"Heatherton Park, Cork"
438,01/04/2021 06:00,16.26,13.68,,EPA-10,"Heatherton Park, Cork"
439,01/04/2021 07:00,12.81,9.63,,EPA-10,"Heatherton Park, Cork"
440,01/04/2021 08:00,14.29,11.02,,EPA-10,"Heatherton Park, Cork"
441,01/04/2021 09:00,20.34,13.2,,EPA-10,"Heatherton Park, Cork"
442,01/04/2021 10:00,22.79,13.78,,EPA-10,"Heatherton Park, Cork"
443,01/04/2021 11:00,24.56,15.39,,EPA-10,"Heatherton Park, Cork"
444,01/04/2021 12:00,32.26,21.03,,EPA-10,"Heatherton Park, Cork"
445,01/04/2021 13:00,45.28,26.63,,EPA-10,"Heatherton Park, Cork"
446,01/04/2021 14:00,40.39,28.5,,EPA-10,"Heatherton Park, Cork"
447,01/04/2021 15:00,41.23,30.69,,EPA-10,"Heatherton Park, Cork"
448,01/04/2021 16:00,43.3,30,,EPA-10,"Heatherton Park, Cork"
449,01/04/2021 17:00,37.89,25.89,,EPA-10,"Heatherton Park, Cork"
450,01/04/2021 18:00,27.08,19.7,,EPA-10,"Heatherton Park, Cork"
451,01/04/2021 19:00,23.7,17.32,,EPA-10,"Heatherton Park, Cork"
452,01/04/2021 20:00,25.33,17.09,,EPA-10,"Heatherton Park, Cork"
453,01/04/2021 21:00,31.99,22.89,,EPA-10,"Heatherton Park, Cork"
454,01/04/2021 22:00,31.74,22.83,,EPA-10,"Heatherton Park, Cork"
455,01/04/2021 23:00,27.67,20.46,,EPA-10,"Heatherton Park, Cork"
456,02/04/2021 00:00,27.82,20.25,,EPA-10,"Heatherton Park, Cork"
457,02/04/2021 01:00,28.86,22.05,,EPA-10,"Heatherton Park, Cork"
458,02/04/2021 02:00,23.3,18.83,,EPA-10,"Heatherton Park, Cork"
459,02/04/2021 03:00,20.98,16.79,,EPA-10,"Heatherton Park, Cork"
460,02/04/2021 04:00,17.91,14.33,,EPA-10,"Heatherton Park, Cork"
461,02/04/2021 05:00,16.88,13.33,,EPA-10,"Heatherton Park, Cork"
462,02/04/2021 06:00,14.92,11.97,,EPA-10,"Heatherton Park, Cork"
463,02/04/2021 07:00,17.34,14.45,,EPA-10,"Heatherton Park, Cork"
464,02/04/2021 08:00,19.79,15.4,,EPA-10,"Heatherton Park, Cork"
465,02/04/2021 09:00,19.45,15.17,,EPA-10,"Heatherton Park, Cork"
466,02/04/2021 10:00,26.86,19.26,,EPA-10,"Heatherton Park, Cork"
467,02/04/2021 11:00,27.05,20.03,,EPA-10,"Heatherton Park, Cork"
468,02/04/2021 12:00,30.41,21.98,,EPA-10,"Heatherton Park, Cork"
469,02/04/2021 13:00,30.65,21.97,,EPA-10,"Heatherton Park, Cork"
470,02/04/2021 14:00,31.61,22.08,,EPA-10,"Heatherton Park, Cork"
471,02/04/2021 15:00,28.39,20.31,,EPA-10,"Heatherton Park, Cork"
472,02/04/2021 16:00,22.12,15.34,,EPA-10,"Heatherton Park, Cork"
473,02/04/2021 17:00,20.85,12.53,,EPA-10,"Heatherton Park, Cork"
474,02/04/2021 18:00,21.9,13.55,,EPA-10,"Heatherton Park, Cork"
475,02/04/2021 19:00,18.09,9.8,,EPA-10,"Heatherton Park, Cork"
476,02/04/2021 20:00,15.87,9.12,,EPA-10,"Heatherton Park, Cork"
477,02/04/2021 21:00,14.47,8.66,,EPA-10,"Heatherton Park, Cork"
478,02/04/2021 22:00,16.68,11.47,,EPA-10,"Heatherton Park, Cork"
479,02/04/2021 22:01,,,,EPA-10,"Heatherton Park, Cork"
480,02/04/2021 23:01,,,,EPA-10,"Heatherton Park, Cork"
481,03/04/2021 00:00,19.98,16.02,,EPA-10,"Heatherton Park, Cork"
482,03/04/2021 01:00,23.3,17.27,,EPA-10,"Heatherton Park, Cork"
483,03/04/2021 02:00,19.72,15.16,,EPA-10,"Heatherton Park, Cork"
484,03/04/2021 03:00,19.64,15.06,,EPA-10,"Heatherton Park, Cork"
485,03/04/2021 04:00,16.11,12.89,,EPA-10,"Heatherton Park, Cork"
486,03/04/2021 05:00,14.01,11.22,,EPA-10,"Heatherton Park, Cork"
487,03/04/2021 06:00,12.56,9.6,,EPA-10,"Heatherton Park, Cork"
488,03/04/2021 07:00,9.88,7.63,,EPA-10,"Heatherton Park, Cork"
489,03/04/2021 08:00,10.31,7.5,,EPA-10,"Heatherton Park, Cork"
490,03/04/2021 09:00,12.67,7.93,,EPA-10,"Heatherton Park, Cork"
491,03/04/2021 10:00,15.91,8.8,,EPA-10,"Heatherton Park, Cork"
492,03/04/2021 11:00,16.15,10.19,,EPA-10,"Heatherton Park, Cork"
493,03/04/2021 12:00,15.5,10.54,,EPA-10,"Heatherton Park, Cork"
494,03/04/2021 13:00,12.12,8.48,,EPA-10,"Heatherton Park, Cork"
495,03/04/2021 14:00,10.17,7,,EPA-10,"Heatherton Park, Cork"
496,03/04/2021 15:00,11,7.78,,EPA-10,"Heatherton Park, Cork"
497,03/04/2021 16:00,11,7.99,,EPA-10,"Heatherton Park, Cork"
498,03/04/2021 17:00,13.6,10.29,,EPA-10,"Heatherton Park, Cork"
499,03/04/2021 18:00,14.68,10.57,,EPA-10,"Heatherton Park, Cork"
500,03/04/2021 19:00,15.19,11.03,,EPA-10,"Heatherton Park, Cork"
501,03/04/2021 20:00,14.99,10.93,,EPA-10,"Heatherton Park, Cork"
502,03/04/2021 21:00,18.5,14.13,,EPA-10,"Heatherton Park, Cork"
503,03/04/2021 22:00,20.38,16.59,,EPA-10,"Heatherton Park, Cork"
504,03/04/2021 23:00,21.7,18.01,,EPA-10,"Heatherton Park, Cork"
505,04/04/2021 00:00,25.46,21.04,,EPA-10,"Heatherton Park, Cork"
506,04/04/2021 01:00,23.69,20.42,,EPA-10,"Heatherton Park, Cork"
507,04/04/2021 02:00,19.39,16.8,,EPA-10,"Heatherton Park, Cork"
508,04/04/2021 03:00,20.77,17.41,,EPA-10,"Heatherton Park, Cork"
509,04/04/2021 04:00,17.05,14.63,,EPA-10,"Heatherton Park, Cork"
510,04/04/2021 05:00,16.91,14.35,,EPA-10,"Heatherton Park, Cork"
511,04/04/2021 06:00,17.53,14.63,,EPA-10,"Heatherton Park, Cork"
512,04/04/2021 07:00,17.41,14.54,,EPA-10,"Heatherton Park, Cork"
513,04/04/2021 08:00,16.11,13.48,,EPA-10,"Heatherton Park, Cork"
514,04/04/2021 09:00,15,12.81,,EPA-10,"Heatherton Park, Cork"
515,04/04/2021 10:00,11.46,10.45,,EPA-10,"Heatherton Park, Cork"
516,04/04/2021 11:00,12.04,10.08,,EPA-10,"Heatherton Park, Cork"
517,04/04/2021 12:00,10.74,8.97,,EPA-10,"Heatherton Park, Cork"
518,04/04/2021 13:00,11.73,9.15,,EPA-10,"Heatherton Park, Cork"
519,04/04/2021 14:00,11.54,9.14,,EPA-10,"Heatherton Park, Cork"
520,04/04/2021 15:00,13.74,10.5,,EPA-10,"Heatherton Park, Cork"
521,04/04/2021 16:00,12.71,9.1,,EPA-10,"Heatherton Park, Cork"
522,04/04/2021 17:00,12.67,8.48,,EPA-10,"Heatherton Park, Cork"
523,04/04/2021 18:00,10.89,7.5,,EPA-10,"Heatherton Park, Cork"
524,04/04/2021 19:00,10.93,7.15,,EPA-10,"Heatherton Park, Cork"
525,04/04/2021 20:00,11.29,7.87,,EPA-10,"Heatherton Park, Cork"
526,04/04/2021 21:00,16.41,12.34,,EPA-10,"Heatherton Park, Cork"
527,04/04/2021 22:00,13.03,9.6,,EPA-10,"Heatherton Park, Cork"
528,04/04/2021 23:00,11.5,7.4,,EPA-10,"Heatherton Park, Cork"
529,05/04/2021 00:00,10.78,7.18,,EPA-10,"Heatherton Park, Cork"
530,05/04/2021 01:00,11.72,6.72,,EPA-10,"Heatherton Park, Cork"
531,05/04/2021 02:00,9.58,5.05,,EPA-10,"Heatherton Park, Cork"
532,05/04/2021 03:00,8.44,4.08,,EPA-10,"Heatherton Park, Cork"
533,05/04/2021 04:00,7.3,3.36,,EPA-10,"Heatherton Park, Cork"
534,05/04/2021 05:00,9.62,6.88,,EPA-10,"Heatherton Park, Cork"
535,05/04/2021 06:00,3.89,1.98,,EPA-10,"Heatherton Park, Cork"
536,05/04/2021 07:00,14,7.46,,EPA-10,"Heatherton Park, Cork"
537,05/04/2021 08:00,17.44,8.97,,EPA-10,"Heatherton Park, Cork"
538,05/04/2021 09:00,17.78,8.8,,EPA-10,"Heatherton Park, Cork"
539,05/04/2021 10:00,15.74,7.96,,EPA-10,"Heatherton Park, Cork"
540,05/04/2021 11:00,12.28,6.46,,EPA-10,"Heatherton Park, Cork"
541,05/04/2021 12:00,13.24,7.47,,EPA-10,"Heatherton Park, Cork"
542,05/04/2021 13:00,8.36,4.78,,EPA-10,"Heatherton Park, Cork"
543,05/04/2021 14:00,7.68,4.2,,EPA-10,"Heatherton Park, Cork"
544,05/04/2021 15:00,5.52,3.13,,EPA-10,"Heatherton Park, Cork"
