,Date and Time,PM10,PM2.5,SO2,Site
0,2022-03-22 00:00:00,18.66,13.4,,EPA-59
1,2022-03-22 01:00:00,20.76,15.22,,EPA-59
2,2022-03-22 02:00:00,23.02,16.96,,EPA-59
3,2022-03-22 03:00:00,24.2,18.27,,EPA-59
4,2022-03-22 04:00:00,26.43,19.92,,EPA-59
5,2022-03-22 05:00:00,27.51,20.75,,EPA-59
6,2022-03-22 06:00:00,29.52,23.08,,EPA-59
7,2022-03-22 07:00:00,30.05,24.05,,EPA-59
8,2022-03-22 08:00:00,34.87,26.29,,EPA-59
9,2022-03-22 09:00:00,35.07,26.2,,EPA-59
10,2022-03-22 10:00:00,37.05,27.0,,EPA-59
11,2022-03-22 11:00:00,36.14,26.96,,EPA-59
12,2022-03-22 12:00:00,36.53,27.01,,EPA-59
13,2022-03-22 13:00:00,35.08,26.85,,EPA-59
14,2022-03-22 14:00:00,35.92,28.2,,EPA-59
15,2022-03-22 15:00:00,34.55,28.27,,EPA-59
16,2022-03-22 16:00:00,32.43,26.21,,EPA-59
17,2022-03-22 17:00:00,32.0,25.38,,EPA-59
18,2022-03-22 18:00:00,31.1,23.17,,EPA-59
19,2022-03-22 19:00:00,35.48,26.82,,EPA-59
20,2022-03-22 20:00:00,43.01,33.36,,EPA-59
21,2022-03-22 21:00:00,37.53,29.56,,EPA-59
22,2022-03-22 22:00:00,35.48,26.49,,EPA-59
23,2022-03-22 23:00:00,36.94,26.85,,EPA-59
0,2022-03-22 00:00:00,25.16,16.64,,EPA-67
1,2022-03-22 01:00:00,20.91,13.55,,EPA-67
2,2022-03-22 02:00:00,21.24,13.45,,EPA-67
3,2022-03-22 03:00:00,19.84,11.81,,EPA-67
4,2022-03-22 04:00:00,22.94,15.14,,EPA-67
5,2022-03-22 05:00:00,19.51,13.14,,EPA-67
6,2022-03-22 06:00:00,21.88,14.38,,EPA-67
7,2022-03-22 07:00:00,22.63,15.7,,EPA-67
8,2022-03-22 08:00:00,24.05,16.19,,EPA-67
9,2022-03-22 09:00:00,26.93,17.08,,EPA-67
10,2022-03-22 10:00:00,24.18,15.14,,EPA-67
11,2022-03-22 11:00:00,27.73,19.33,,EPA-67
12,2022-03-22 12:00:00,21.21,13.65,,EPA-67
13,2022-03-22 13:00:00,21.4,13.63,,EPA-67
14,2022-03-22 14:00:00,24.27,16.79,,EPA-67
15,2022-03-22 15:00:00,26.58,19.35,,EPA-67
16,2022-03-22 16:00:00,27.73,21.38,,EPA-67
