,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
14352,"Atlanta, GA",2018-04-01,2018-04-30,30,345500.0,732.0
20404,"Denver, CO",2020-12-01,2020-12-31,30,527250.0,756.0
36859,"San Francisco, CA",2020-10-01,2020-10-31,30,1620000.0,280.0
49851,"New York, NY",2020-05-01,2020-05-31,30,605000.0,339.0
55535,"New York, NY",2019-10-01,2019-10-31,30,615000.0,787.0
71347,"Denver, CO",2020-07-01,2020-07-31,30,525000.0,1000.0
74623,"Atlanta, GA",2018-09-01,2018-09-30,30,335000.0,631.0
79475,"Chicago, IL",2018-02-01,2018-02-28,30,211996.0,604.0
83890,"Boston, MA",2020-02-01,2020-02-29,30,642350.0,42.0
98514,"Atlanta, GA",2018-08-01,2018-08-31,30,344000.0,779.0
109145,"New York, NY",2019-12-01,2019-12-31,30,599999.0,765.0
120772,"Boston, MA",2018-07-01,2018-07-31,30,617500.0,117.0
138837,"Chicago, IL",2018-07-01,2018-07-31,30,257250.0,1002.0
156405,"Atlanta, GA",2019-11-01,2019-11-30,30,365000.0,597.0
165396,"Boston, MA",2021-06-01,2021-06-30,30,820000.0,115.0
176229,"Boston, MA",2019-06-01,2019-06-30,30,660000.0,125.0
180629,"Seattle, WA",2019-06-01,2019-06-30,30,800000.0,650.0
189571,"Austin, TX",2020-09-01,2020-09-30,30,460000.0,1197.0
199027,"Los Angeles, CA",2018-11-01,2018-11-30,30,765000.0,1277.0
199801,"San Francisco, CA",2021-02-01,2021-02-28,30,1550000.0,151.0
205818,"Seattle, WA",2018-05-01,2018-05-31,30,835000.0,652.0
215976,"New York, NY",2020-01-01,2020-01-31,30,600000.0,708.0
220004,"Denver, CO",2018-03-01,2018-03-31,30,459000.0,787.0
233654,"Seattle, WA",2020-08-01,2020-08-31,30,897000.0,716.0
233841,"Los Angeles, CA",2021-08-01,2021-08-31,30,1111500.0,1654.0
237733,"Boston, MA",2020-01-01,2020-01-31,30,635000.0,47.0
244317,"Seattle, WA",2021-08-01,2021-08-31,30,952000.0,680.0
249340,"Boston, MA",2021-04-01,2021-04-30,30,755000.0,71.0
257167,"New York, NY",2021-08-01,2021-08-31,30,685000.0,1053.0
258113,"Los Angeles, CA",2018-05-01,2018-05-31,30,769000.0,1613.0
259036,"San Francisco, CA",2020-01-01,2020-01-31,30,1460000.0,94.0
275696,"Atlanta, GA",2021-04-01,2021-04-30,30,501250.0,831.0
276609,"Seattle, WA",2021-07-01,2021-07-31,30,975000.0,820.0
298886,"Seattle, WA",2019-11-01,2019-11-30,30,790000.0,497.0
301237,"Austin, TX",2020-08-01,2020-08-31,30,475000.0,1242.0
303970,"Boston, MA",2019-04-01,2019-04-30,30,697310.5,52.0
305521,"Boston, MA",2019-12-01,2019-12-31,30,625000.0,92.0
309054,"Chicago, IL",2020-11-01,2020-11-30,30,272800.0,919.0
312599,"Chicago, IL",2019-08-01,2019-08-31,30,250000.0,966.0
312942,"New York, NY",2021-09-01,2021-09-30,30,700000.0,845.0
320112,"Raleigh, NC",2019-10-01,2019-10-31,30,325000.0,517.0
322147,"Chicago, IL",2018-09-01,2018-09-30,30,244000.0,811.0
324883,"Seattle, WA",2019-02-01,2019-02-28,30,735000.0,375.0
333940,"New York, NY",2020-07-01,2020-07-31,30,610000.0,460.0
345224,"Boston, MA",2018-06-01,2018-06-30,30,676250.0,142.0
346277,"Chicago, IL",2019-02-01,2019-02-28,30,225000.0,549.0
355913,"Boston, MA",2020-10-01,2020-10-31,30,765000.0,97.0
358754,"Los Angeles, CA",2020-07-01,2020-07-31,30,935000.0,1539.0
366778,"Los Angeles, CA",2019-03-01,2019-03-31,30,795000.0,1239.0
368811,"San Francisco, CA",2018-04-01,2018-04-30,30,1650000.0,186.0
376020,"Chicago, IL",2018-04-01,2018-04-30,30,247000.0,967.0
383178,"Raleigh, NC",2018-11-01,2018-11-30,30,324500.0,434.0
385071,"Denver, CO",2021-06-01,2021-06-30,30,640000.0,935.0
386560,"Seattle, WA",2019-03-01,2019-03-31,30,767000.0,387.0
406918,"Seattle, WA",2018-11-01,2018-11-30,30,759000.0,437.0
407944,"Raleigh, NC",2018-06-01,2018-06-30,30,334250.0,664.0
412701,"Denver, CO",2021-12-01,2021-12-31,30,615250.0,648.0
413379,"Austin, TX",2021-05-01,2021-05-31,30,636094.5,1122.0
424298,"Atlanta, GA",2020-02-01,2020-02-29,30,320000.0,635.0
434351,"Boston, MA",2018-09-01,2018-09-30,30,560000.0,78.0
450794,"Atlanta, GA",2021-07-01,2021-07-31,30,515000.0,806.0
458188,"Boston, MA",2019-03-01,2019-03-31,30,630000.0,57.0
483705,"Raleigh, NC",2018-01-01,2018-01-31,30,285000.0,336.0
491773,"Denver, CO",2019-08-01,2019-08-31,30,481250.0,876.0
505664,"Austin, TX",2018-05-01,2018-05-31,30,396500.0,1329.0
518993,"Atlanta, GA",2021-03-01,2021-03-31,30,439900.0,835.0
529674,"Austin, TX",2021-01-01,2021-01-31,30,515000.0,687.0
532499,"San Francisco, CA",2018-03-01,2018-03-31,30,1670000.0,198.0
534177,"Seattle, WA",2019-12-01,2019-12-31,30,749950.0,476.0
535138,"Los Angeles, CA",2019-08-01,2019-08-31,30,810000.0,1600.0
541224,"San Francisco, CA",2018-09-01,2018-09-30,30,1500000.0,140.0
546385,"Seattle, WA",2021-03-01,2021-03-31,30,930000.0,588.0
555956,"New York, NY",2020-03-01,2020-03-31,30,626500.0,542.0
558993,"San Francisco, CA",2018-07-01,2018-07-31,30,1617500.0,186.0
565088,"Boston, MA",2020-11-01,2020-11-30,30,667000.0,74.0
579588,"Atlanta, GA",2018-07-01,2018-07-31,30,351000.0,738.0
588716,"Los Angeles, CA",2019-10-01,2019-10-31,30,825000.0,1519.0
596362,"Boston, MA",2019-09-01,2019-09-30,30,599000.0,63.0
596814,"Denver, CO",2018-02-01,2018-02-28,30,455000.0,597.0
602099,"Chicago, IL",2018-11-01,2018-11-30,30,227000.0,812.0
622135,"San Francisco, CA",2019-09-01,2019-09-30,30,1528500.0,128.0
641459,"Seattle, WA",2020-03-01,2020-03-31,30,874000.0,466.0
647356,"Los Angeles, CA",2021-10-01,2021-10-31,30,1065000.0,1645.0
648230,"Los Angeles, CA",2019-05-01,2019-05-31,30,787750.0,1577.0
650223,"Chicago, IL",2020-12-01,2020-12-31,30,280000.0,975.0
673761,"Raleigh, NC",2019-11-01,2019-11-30,30,335000.0,424.0
678758,"New York, NY",2018-07-01,2018-07-31,30,599000.0,773.0
692395,"New York, NY",2019-08-01,2019-08-31,30,608750.0,802.0
693456,"San Francisco, CA",2019-11-01,2019-11-30,30,1600000.0,203.0
704992,"Austin, TX",2018-02-01,2018-02-28,30,372000.0,749.0
715180,"San Francisco, CA",2019-07-01,2019-07-31,30,1575500.0,208.0
716464,"Chicago, IL",2020-08-01,2020-08-31,30,306000.0,1091.0
717081,"Boston, MA",2018-04-01,2018-04-30,30,575000.0,57.0
718085,"Austin, TX",2018-09-01,2018-09-30,30,375000.0,878.0
726123,"Raleigh, NC",2020-02-01,2020-02-29,30,336000.0,400.0
733466,"Seattle, WA",2021-12-01,2021-12-31,30,925000.0,445.0
740119,"Seattle, WA",2020-07-01,2020-07-31,30,860500.0,706.0
740571,"San Francisco, CA",2020-06-01,2020-06-30,30,1807500.0,160.0
741617,"Austin, TX",2021-08-01,2021-08-31,30,601805.0,1130.0
742251,"Denver, CO",2018-12-01,2018-12-31,30,425000.0,582.0
749340,"Seattle, WA",2018-01-01,2018-01-31,30,766000.0,311.0
756009,"Atlanta, GA",2019-09-01,2019-09-30,30,349850.0,684.0
757751,"Boston, MA",2019-05-01,2019-05-31,30,665000.0,101.0
773023,"Chicago, IL",2018-03-01,2018-03-31,30,232000.0,815.0
778006,"Austin, TX",2020-06-01,2020-06-30,30,450250.0,1211.0
800371,"San Francisco, CA",2021-04-01,2021-04-30,30,1785000.0,265.0
801589,"Los Angeles, CA",2021-04-01,2021-04-30,30,1100000.0,1795.0
801854,"Los Angeles, CA",2018-07-01,2018-07-31,30,763500.0,1571.0
803414,"Denver, CO",2020-04-01,2020-04-30,30,500000.0,517.0
805921,"Los Angeles, CA",2021-11-01,2021-11-30,30,1060000.0,1617.0
816748,"Atlanta, GA",2020-03-01,2020-03-31,30,390000.0,705.0
823100,"Denver, CO",2020-06-01,2020-06-30,30,500000.0,883.0
827514,"New York, NY",2020-12-01,2020-12-31,30,642500.0,1042.0
842015,"Chicago, IL",2019-05-01,2019-05-31,30,265000.0,1029.0
842985,"Austin, TX",2021-10-01,2021-10-31,30,580000.0,890.0
848487,"Seattle, WA",2019-04-01,2019-04-30,30,810000.0,591.0
848876,"Chicago, IL",2020-10-01,2020-10-31,30,285000.0,1093.0
856087,"Seattle, WA",2019-01-01,2019-01-31,30,720000.0,279.0
856682,"Chicago, IL",2019-09-01,2019-09-30,30,240000.0,809.0
861000,"Atlanta, GA",2021-08-01,2021-08-31,30,455000.0,715.0
881948,"Raleigh, NC",2018-08-01,2018-08-31,30,295500.0,590.0
901801,"Raleigh, NC",2018-07-01,2018-07-31,30,318000.0,609.0
