,Date and Time,PM10,PM2.5,SO2,Site,location
0,2022-03-12 00:00:00,48.49,43.53,18.54,EPA-25,"Ennis, Co. Clare"
1,2022-03-12 01:00:00,28.25,24.44,14.09,EPA-25,"Ennis, Co. Clare"
2,2022-03-12 02:00:00,11.33,8.2,12.43,EPA-25,"Ennis, Co. Clare"
3,2022-03-12 03:00:00,3.28,2.16,9.13,EPA-25,"Ennis, Co. Clare"
4,2022-03-12 04:00:00,4.38,2.29,7.91,EPA-25,"Ennis, Co. Clare"
5,2022-03-12 05:00:00,3.1,2.14,6.29,EPA-25,"Ennis, Co. Clare"
6,2022-03-12 06:00:00,4.16,2.22,6.05,EPA-25,"Ennis, Co. Clare"
7,2022-03-12 07:00:00,4.53,2.66,5.26,EPA-25,"Ennis, Co. Clare"
8,2022-03-12 08:00:00,10.44,7.27,5.68,EPA-25,"Ennis, Co. Clare"
9,2022-03-12 09:00:00,8.5,5.65,7.04,EPA-25,"Ennis, Co. Clare"
10,2022-03-12 10:00:00,9.13,5.63,8.14,EPA-25,"Ennis, Co. Clare"
11,2022-03-12 11:00:00,11.66,7.68,7.5,EPA-25,"Ennis, Co. Clare"
12,2022-03-12 12:00:00,10.17,5.33,6.85,EPA-25,"Ennis, Co. Clare"
13,2022-03-12 13:00:00,12.73,7.41,6.3,EPA-25,"Ennis, Co. Clare"
14,2022-03-12 14:00:00,13.39,7.73,5.97,EPA-25,"Ennis, Co. Clare"
15,2022-03-12 15:00:00,13.26,7.12,5.92,EPA-25,"Ennis, Co. Clare"
16,2022-03-12 16:00:00,10.69,6.83,5.25,EPA-25,"Ennis, Co. Clare"
17,2022-03-12 17:00:00,5.39,4.27,4.94,EPA-25,"Ennis, Co. Clare"
18,2022-03-12 18:00:00,5.48,4.64,4.76,EPA-25,"Ennis, Co. Clare"
19,2022-03-12 19:00:00,6.73,5.94,5.12,EPA-25,"Ennis, Co. Clare"
20,2022-03-12 20:00:00,15.36,13.48,5.77,EPA-25,"Ennis, Co. Clare"
21,2022-03-12 21:00:00,20.84,16.39,6.16,EPA-25,"Ennis, Co. Clare"
22,2022-03-12 22:00:00,13.8,10.65,6.11,EPA-25,"Ennis, Co. Clare"
23,2022-03-12 23:00:00,11.51,7.19,5.52,EPA-25,"Ennis, Co. Clare"
24,2022-03-13 00:00:00,11.16,7.62,5.28,EPA-25,"Ennis, Co. Clare"
25,2022-03-13 01:00:00,7.6,5.7,5.34,EPA-25,"Ennis, Co. Clare"
26,2022-03-13 02:00:00,8.33,5.54,5.55,EPA-25,"Ennis, Co. Clare"
