,Date and Time,PM10,PM2.5,SO2,Site,location,date,time,daily mean,daily max
72542,2021-08-07 07:00:00,9.87,6.47,,EPA-101,Greystones Fire Station,2021-08-07,07:00:00,3.003478260869565,6.47
72571,2021-08-08 12:00:00,9.21,4.6,,EPA-101,Greystones Fire Station,2021-08-08,12:00:00,2.2470833333333333,4.6
72593,2021-08-09 10:00:00,9.3,3.0,,EPA-101,Greystones Fire Station,2021-08-09,10:00:00,2.1929166666666666,3.0
72625,2021-08-10 18:00:00,9.7,5.67,,EPA-101,Greystones Fire Station,2021-08-10,18:00:00,4.48375,5.67
72637,2021-08-11 06:00:00,7.51,5.09,,EPA-101,Greystones Fire Station,2021-08-11,06:00:00,3.2908333333333335,5.09
72678,2021-08-12 23:00:00,15.21,8.12,,EPA-101,Greystones Fire Station,2021-08-12,23:00:00,4.62625,8.12
72679,2021-08-13 00:00:00,12.82,7.1,,EPA-101,Greystones Fire Station,2021-08-13,00:00:00,5.594166666666666,7.1
72710,2021-08-14 07:00:00,10.42,6.53,,EPA-101,Greystones Fire Station,2021-08-14,07:00:00,4.860833333333333,6.53
72747,2021-08-15 20:00:00,10.03,5.38,,EPA-101,Greystones Fire Station,2021-08-15,20:00:00,3.4654166666666666,5.38
72752,2021-08-16 01:00:00,21.62,15.65,,EPA-101,Greystones Fire Station,2021-08-16,01:00:00,5.62125,15.65
72798,2021-08-17 23:00:00,7.82,5.86,,EPA-101,Greystones Fire Station,2021-08-17,23:00:00,2.4575,5.86
72820,2021-08-18 21:00:00,9.18,5.78,,EPA-101,Greystones Fire Station,2021-08-18,21:00:00,2.61625,5.78
72846,2021-08-19 23:00:00,8.74,5.37,,EPA-101,Greystones Fire Station,2021-08-19,23:00:00,3.2986363636363634,5.37
72860,2021-08-20 13:00:00,9.39,6.0,,EPA-101,Greystones Fire Station,2021-08-20,13:00:00,3.9591666666666665,6.0
72888,2021-08-21 17:00:00,8.96,5.4,,EPA-101,Greystones Fire Station,2021-08-21,17:00:00,3.4670833333333335,5.4
72908,2021-08-22 13:00:00,8.54,6.54,,EPA-101,Greystones Fire Station,2021-08-22,13:00:00,3.5116666666666667,6.54
72934,2021-08-23 15:00:00,8.96,7.04,,EPA-101,Greystones Fire Station,2021-08-23,15:00:00,5.19625,7.04
72956,2021-08-24 13:00:00,14.84,11.36,,EPA-101,Greystones Fire Station,2021-08-24,13:00:00,7.088333333333334,11.36
72985,2021-08-25 18:00:00,21.28,18.37,,EPA-101,Greystones Fire Station,2021-08-25,18:00:00,9.319583333333332,18.37
73004,2021-08-26 13:00:00,13.94,11.76,,EPA-101,Greystones Fire Station,2021-08-26,13:00:00,7.018260869565217,11.76
73025,2021-08-27 09:00:00,16.37,10.91,,EPA-101,Greystones Fire Station,2021-08-27,09:00:00,7.453333333333333,10.91
73062,2021-08-28 22:00:00,16.8,10.56,,EPA-101,Greystones Fire Station,2021-08-28,22:00:00,6.4941666666666675,10.56
73075,2021-08-29 11:00:00,19.84,15.56,,EPA-101,Greystones Fire Station,2021-08-29,11:00:00,7.989166666666667,15.56
73088,2021-08-30 00:00:00,8.79,5.89,,EPA-101,Greystones Fire Station,2021-08-30,00:00:00,3.4454166666666666,5.89
73128,2021-08-31 16:00:00,10.02,5.85,,EPA-101,Greystones Fire Station,2021-08-31,16:00:00,4.1866666666666665,5.85
73158,2021-09-01 22:00:00,10.57,6.7,,EPA-101,Greystones Fire Station,2021-09-01,22:00:00,4.8125,6.7
73172,2021-09-02 12:00:00,18.06,12.34,,EPA-101,Greystones Fire Station,2021-09-02,12:00:00,8.216666666666667,12.34
73193,2021-09-03 09:00:00,25.98,15.59,,EPA-101,Greystones Fire Station,2021-09-03,09:00:00,10.27125,15.59
73227,2021-09-04 19:00:00,25.19,18.24,,EPA-101,Greystones Fire Station,2021-09-04,19:00:00,15.497083333333334,18.24
73246,2021-09-05 14:00:00,37.19,29.11,,EPA-101,Greystones Fire Station,2021-09-05,14:00:00,18.839583333333334,29.11
73256,2021-09-06 00:00:00,26.24,21.5,,EPA-101,Greystones Fire Station,2021-09-06,00:00:00,10.28375,21.5
73298,2021-09-07 18:00:00,20.92,17.95,,EPA-101,Greystones Fire Station,2021-09-07,18:00:00,11.89625,17.95
73309,2021-09-08 05:00:00,27.3,24.95,,EPA-101,Greystones Fire Station,2021-09-08,05:00:00,16.76125,24.95
73329,2021-09-09 01:00:00,19.6,16.52,,EPA-101,Greystones Fire Station,2021-09-09,01:00:00,7.176666666666667,16.52
73363,2021-09-10 11:00:00,18.11,11.43,,EPA-101,Greystones Fire Station,2021-09-10,11:00:00,6.252083333333334,11.43
73399,2021-09-11 23:00:00,6.23,3.59,,EPA-101,Greystones Fire Station,2021-09-11,23:00:00,2.6666666666666665,3.59
73409,2021-09-12 09:00:00,8.86,5.02,,EPA-101,Greystones Fire Station,2021-09-12,09:00:00,2.9195833333333336,5.02
73445,2021-09-13 21:00:00,18.68,14.54,,EPA-101,Greystones Fire Station,2021-09-13,21:00:00,5.3374999999999995,14.54
73448,2021-09-14 00:00:00,18.07,14.78,,EPA-101,Greystones Fire Station,2021-09-14,00:00:00,8.864583333333334,14.78
73482,2021-09-15 10:00:00,23.6,16.51,,EPA-101,Greystones Fire Station,2021-09-15,10:00:00,11.194583333333334,16.51
73511,2021-09-16 15:00:00,11.56,5.49,,EPA-101,Greystones Fire Station,2021-09-16,15:00:00,3.504583333333333,5.49
73541,2021-09-17 21:00:00,14.08,8.26,,EPA-101,Greystones Fire Station,2021-09-17,21:00:00,3.2620833333333334,8.26
73563,2021-09-18 19:00:00,13.64,9.76,,EPA-101,Greystones Fire Station,2021-09-18,19:00:00,6.329583333333333,9.76
73579,2021-09-19 11:00:00,8.03,4.21,,EPA-101,Greystones Fire Station,2021-09-19,11:00:00,2.922916666666667,4.21
73613,2021-09-20 21:00:00,12.26,6.93,,EPA-101,Greystones Fire Station,2021-09-20,21:00:00,3.49375,6.93
73619,2021-09-21 03:00:00,12.15,7.96,,EPA-101,Greystones Fire Station,2021-09-21,03:00:00,5.52875,7.96
73655,2021-09-22 15:00:00,11.39,5.29,,EPA-101,Greystones Fire Station,2021-09-22,15:00:00,3.06,5.29
73686,2021-09-23 22:00:00,13.49,7.33,,EPA-101,Greystones Fire Station,2021-09-23,22:00:00,3.2587500000000005,7.33
73688,2021-09-24 00:00:00,10.67,6.22,,EPA-101,Greystones Fire Station,2021-09-24,00:00:00,2.1766666666666667,6.22
73732,2021-09-25 20:00:00,6.64,4.61,,EPA-101,Greystones Fire Station,2021-09-25,20:00:00,2.3816666666666664,4.61
73753,2021-09-26 17:00:00,12.36,6.64,,EPA-101,Greystones Fire Station,2021-09-26,17:00:00,2.0054166666666666,6.64
73783,2021-09-27 23:00:00,6.84,5.34,,EPA-101,Greystones Fire Station,2021-09-27,23:00:00,2.3833333333333333,5.34
73804,2021-09-28 20:00:00,6.97,4.19,,EPA-101,Greystones Fire Station,2021-09-28,20:00:00,2.5391666666666666,4.19
73822,2021-09-29 14:00:00,11.57,4.15,,EPA-101,Greystones Fire Station,2021-09-29,14:00:00,2.8845833333333335,4.15
73850,2021-09-30 18:00:00,13.9,6.83,,EPA-101,Greystones Fire Station,2021-09-30,18:00:00,3.1475000000000004,6.83
73877,2021-10-01 21:00:00,12.92,7.75,,EPA-101,Greystones Fire Station,2021-10-01,21:00:00,4.09,7.75
73900,2021-10-02 20:00:00,8.51,5.91,,EPA-101,Greystones Fire Station,2021-10-02,20:00:00,3.0920833333333335,5.91
73925,2021-10-03 21:00:00,6.57,4.78,,EPA-101,Greystones Fire Station,2021-10-03,21:00:00,2.6641666666666666,4.78
73948,2021-10-04 20:00:00,7.34,5.06,,EPA-101,Greystones Fire Station,2021-10-04,20:00:00,3.2854166666666664,5.06
73952,2021-10-05 00:00:00,5.99,4.76,,EPA-101,Greystones Fire Station,2021-10-05,00:00:00,2.1104166666666666,4.76
73986,2021-10-06 10:00:00,19.41,4.27,,EPA-101,Greystones Fire Station,2021-10-06,10:00:00,2.714166666666667,4.27
74002,2021-10-07 02:00:00,6.33,3.26,,EPA-101,Greystones Fire Station,2021-10-07,02:00:00,1.6375,3.26
74042,2021-10-08 18:00:00,21.2,7.58,,EPA-101,Greystones Fire Station,2021-10-08,18:00:00,5.033333333333333,7.58
74048,2021-10-09 00:00:00,8.47,4.88,,EPA-101,Greystones Fire Station,2021-10-09,00:00:00,3.481666666666667,4.88
74093,2021-10-10 21:00:00,18.0,13.28,,EPA-101,Greystones Fire Station,2021-10-10,21:00:00,5.372083333333333,13.28
74117,2021-10-11 21:00:00,36.68,28.84,,EPA-101,Greystones Fire Station,2021-10-11,21:00:00,9.039166666666667,28.84
74121,2021-10-12 01:00:00,11.5,7.55,,EPA-101,Greystones Fire Station,2021-10-12,01:00:00,3.858333333333333,7.55
74165,2021-10-13 21:00:00,26.91,21.08,,EPA-101,Greystones Fire Station,2021-10-13,21:00:00,6.081666666666667,21.08
74168,2021-10-14 00:00:00,23.03,20.4,,EPA-101,Greystones Fire Station,2021-10-14,00:00:00,7.447727272727272,20.4
74214,2021-10-15 21:00:00,12.49,9.26,,EPA-101,Greystones Fire Station,2021-10-15,21:00:00,4.1135,9.26
74240,2021-10-16 21:00:00,12.77,9.05,,EPA-101,Greystones Fire Station,2021-10-16,21:00:00,5.117826086956522,9.05
74243,2021-10-17 00:00:00,9.29,6.61,,EPA-101,Greystones Fire Station,2021-10-17,00:00:00,2.1350000000000002,6.61
74273,2021-10-18 06:00:00,12.31,8.05,,EPA-101,Greystones Fire Station,2021-10-18,06:00:00,3.90875,8.05
74312,2021-10-19 21:00:00,11.66,6.37,,EPA-101,Greystones Fire Station,2021-10-19,21:00:00,2.6374999999999997,6.37
74335,2021-10-20 20:00:00,16.92,8.23,,EPA-101,Greystones Fire Station,2021-10-20,20:00:00,5.114583333333333,8.23
74361,2021-10-21 22:00:00,18.6,13.4,,EPA-101,Greystones Fire Station,2021-10-21,22:00:00,4.952083333333333,13.4
74385,2021-10-22 22:00:00,13.88,10.74,,EPA-101,Greystones Fire Station,2021-10-22,22:00:00,3.5591666666666666,10.74
74408,2021-10-23 21:00:00,14.29,7.38,,EPA-101,Greystones Fire Station,2021-10-23,21:00:00,3.9295833333333334,7.38
74432,2021-10-24 21:00:00,30.21,24.77,,EPA-101,Greystones Fire Station,2021-10-24,21:00:00,5.922083333333333,24.77
74455,2021-10-25 20:00:00,32.37,27.49,,EPA-101,Greystones Fire Station,2021-10-25,20:00:00,6.332083333333333,27.49
74459,2021-10-26 00:00:00,12.92,9.53,,EPA-101,Greystones Fire Station,2021-10-26,00:00:00,4.742500000000001,9.53
74483,2021-10-27 00:00:00,9.24,5.52,,EPA-101,Greystones Fire Station,2021-10-27,00:00:00,1.9479166666666667,5.52
74530,2021-10-28 23:00:00,13.62,9.7,,EPA-101,Greystones Fire Station,2021-10-28,23:00:00,2.5683333333333334,9.7
74551,2021-10-29 20:00:00,15.59,8.84,,EPA-101,Greystones Fire Station,2021-10-29,20:00:00,3.8808333333333334,8.84
74576,2021-10-30 21:00:00,56.82,50.62,,EPA-101,Greystones Fire Station,2021-10-30,21:00:00,7.285416666666666,50.62
74582,2021-10-31 03:00:00,23.72,11.42,,EPA-101,Greystones Fire Station,2021-10-31,03:00:00,3.90875,11.42
74623,2021-11-01 20:00:00,11.83,9.09,,EPA-101,Greystones Fire Station,2021-11-01,20:00:00,3.515416666666667,9.09
74646,2021-11-02 19:00:00,10.4,7.2,,EPA-101,Greystones Fire Station,2021-11-02,19:00:00,3.609166666666667,7.2
74670,2021-11-03 19:00:00,10.82,6.81,,EPA-101,Greystones Fire Station,2021-11-03,19:00:00,3.4170833333333337,6.81
74695,2021-11-04 20:00:00,8.93,6.73,,EPA-101,Greystones Fire Station,2021-11-04,20:00:00,3.84,6.73
74719,2021-11-05 20:00:00,14.76,11.55,,EPA-101,Greystones Fire Station,2021-11-05,20:00:00,4.2612499999999995,11.55
74723,2021-11-06 00:00:00,13.42,12.43,,EPA-101,Greystones Fire Station,2021-11-06,00:00:00,4.7275,12.43
74766,2021-11-07 19:00:00,82.97,72.35,,EPA-101,Greystones Fire Station,2021-11-07,19:00:00,17.3875,72.35
74771,2021-11-08 00:00:00,21.28,15.89,,EPA-101,Greystones Fire Station,2021-11-08,00:00:00,5.4070833333333335,15.89
74817,2021-11-09 22:00:00,19.99,16.09,,EPA-101,Greystones Fire Station,2021-11-09,22:00:00,4.960833333333333,16.09
74839,2021-11-10 20:00:00,41.52,32.89,,EPA-101,Greystones Fire Station,2021-11-10,20:00:00,9.363750000000001,32.89
74843,2021-11-11 00:00:00,22.24,18.45,,EPA-101,Greystones Fire Station,2021-11-11,00:00:00,4.25125,18.45
74872,2021-11-12 05:00:00,17.95,11.09,,EPA-101,Greystones Fire Station,2021-11-12,05:00:00,4.570833333333334,11.09
74914,2021-11-13 23:00:00,34.22,30.13,,EPA-101,Greystones Fire Station,2021-11-13,23:00:00,7.0058333333333325,30.13
74915,2021-11-14 00:00:00,34.75,31.33,,EPA-101,Greystones Fire Station,2021-11-14,00:00:00,9.5575,31.33
74960,2021-11-15 21:00:00,16.77,11.46,,EPA-101,Greystones Fire Station,2021-11-15,21:00:00,4.34625,11.46
74986,2021-11-16 23:00:00,15.68,9.13,,EPA-101,Greystones Fire Station,2021-11-16,23:00:00,4.537083333333333,9.13
75006,2021-11-17 19:00:00,23.79,13.61,,EPA-101,Greystones Fire Station,2021-11-17,19:00:00,9.769166666666667,13.61
75030,2021-11-18 19:00:00,10.42,6.87,,EPA-101,Greystones Fire Station,2021-11-18,19:00:00,1.8433333333333335,6.87
75056,2021-11-19 21:00:00,57.61,43.9,,EPA-101,Greystones Fire Station,2021-11-19,21:00:00,6.355416666666667,43.9
75060,2021-11-20 01:00:00,17.16,13.4,,EPA-101,Greystones Fire Station,2021-11-20,01:00:00,4.401666666666666,13.4
75104,2021-11-21 21:00:00,15.05,11.05,,EPA-101,Greystones Fire Station,2021-11-21,21:00:00,7.1691666666666665,11.05
