,Site,location,site max mean
57992,EPA-25,"Ennis, Co. Clare",52.43842696629214
9728,EPA-102,"Edenderry Library, Co. Offaly",52.020362694300516
281970,EPA-71,"Tralee Library, Co. Kerry",43.30010989010989
230517,EPA-64,"Letterkenny, Co. Donegal",36.44726775956284
247960,EPA-67,"Macroom, Co. Cork",34.77670360110803
100262,EPA-43,Longford Town,30.452635869565217
221866,EPA-63,Wexford Opera House,28.024805555555556
16695,EPA-106,"Leixlip Library, Co. Kildare",27.781818181818185
239305,EPA-66,Tipperary Town,27.073498622589533
49211,EPA-24,"Enniscorthy, Co. Wexford",25.68275204359673
273397,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",24.113591160220995
91620,EPA-39,"People's Park, Limerick",23.160685714285712
205093,EPA-59,"Brownes Road, Waterford",22.546067415730334
358274,EPA-85,"Henry Street, Limerick",21.31876447876448
343119,EPA-83,"Naas, Co. Kildare",20.044576802507837
334586,EPA-82,"Mallow, Co. Cork",19.89953804347826
143555,EPA-49,"Davitt Road, Inchicore, Dublin 12",19.44623978201635
20750,EPA-16,"Portlaoise, Co. Laois",18.593524590163934
491394,TNO4465,"Banagher, Co. Offaly",17.968260869565217
45870,EPA-22,"Rathmines, Dublin 6",17.837899159663866
126531,EPA-47,"Marino, Dublin 3",17.767349726775958
483239,TNO4437-EPA,"Cabra Community College, Dublin 7",17.7490625
152289,EPA-50,"Ballyfermot, Dublin 10",17.674277929155313
3530,EPA-101,Greystones Fire Station,17.431692307692305
74419,EPA-33,"Clonskeagh, Dublin 14",17.332421383647798
83378,EPA-34,"Dún Laoghaire, Co. Dublin",17.272118644067795
256509,EPA-68,"Navan, Co. Meath",17.12045325779037
29490,EPA-17,"Ringsend, Dublin 4",16.81657223796034
410117,TNO3951,"Abbeyfeale, Limerick",16.74775
480779,TNO4436-EPA,"Donnybrook, Dublin 4",16.74186046511628
322262,EPA-79,"Birr, Co. Offaly",16.540067567567565
66414,EPA-29,"Blanchardstown, Dublin 15",16.273647058823528
296192,EPA-75,"Clonmel, Co. Tipperary",16.21884297520661
117766,EPA-46,"Finglas, Dublin 11",15.932907608695654
397333,TNO3947,"Ennistymon, Co. Clare",15.887739726027398
37761,EPA-21,University College Cork,15.705202312138729
304871,EPA-76,"Dublin Port, Dublin 1",15.69939058171745
169900,EPA-53,Roscommon Town,15.691939058171744
178542,EPA-54,Carlow Town,15.492627551020407
272639,EPA-69,"Pearse Street, Dublin 2",15.334999999999999
313502,EPA-78,Cavan Town,14.937356948228883
213552,EPA-60,"Cobh Carrignafoy, Co. Cork",14.90699716713881
196255,EPA-57,"St. John’s Road, Kilmainham, Dublin 8",14.841643835616438
161105,EPA-52,"St. Anne's Park, Dublin 5",14.732158469945356
350613,EPA-84,"Drogheda, Co. Louth",14.235740740740741
390107,TNO3946,"Dungarvan, Co. Waterford",13.900688524590164
108949,EPA-44,"Tallaght, Dublin 24",13.392146739130435
384263,TNO3839,"O'Connell St, Limerick",12.946442687747036
325766,EPA-80,"Carrick-on-Shannon, Co. Leitrim",12.91129943502825
433027,TNO3955,"Buncranna, Co. Donegal",12.619565217391305
187322,EPA-55,"Dublin Airport, Swords, Co. Dublin",12.174376731301939
135280,EPA-48,"Phoenix Park, Dublin 8",12.105360230547552
447,EPA-10,"Heatherton Park, Cork",12.068243243243243
421905,TNO3953,"Newbridge, Co. Kildare",11.974018691588785
415557,TNO3952,Monaghan Town,11.543465703971119
440668,TNO4157,"Thomastown, Co. Kilkenny",11.535426136363636
14395,EPA-103,"Claremorris, Co. Mayo",10.933298969072165
457399,TNO4159,"Mullingar, Co. Westmeath",10.897680250783699
290709,EPA-74,"Askeaton, Co. Limerick",10.487424892703864
483989,TNO4438-EPA,"Weaver Park, Dublin 8",10.358790849673202
464920,TNO4160,"Celbridge, Co. Kildare",10.265545454545455
404218,TNO3948,"Tullamore, Co. Offaly",10.083034188034187
449017,TNO4158,"Deansgrange, Co. Dublin",9.952937853107345
472651,TNO4324-EPA,"Lord Edward Street, Dublin 2",9.250434782608695
501336,TNT1296-EPA,"Ballymun Library, Dublin 9",8.189943977591037
429527,TNO3954,"Mountrath, Co. Laois",7.451836734693878
475973,TNO4390-EPA,"TU Dublin, Dublin 7",6.952723004694836
17422,EPA-13,"Bray, Co. Wicklow",6.562666666666667
492804,TNT1088-EPA,"Walkinstown Library, Dublin 12",5.644781420765026
364863,TNO2161-EPA,"Custom House Quay, Dublin 1",4.0912500000000005
