,Site,location,site max mean
57992,EPA-25,"Ennis, Co. Clare",52.43842696629214
9728,EPA-102,"Edenderry Library, Co. Offaly",52.020362694300516
281970,EPA-71,"Tralee Library, Co. Kerry",43.30010989010989
230517,EPA-64,"Letterkenny, Co. Donegal",36.44726775956284
247960,EPA-67,"Macroom, Co. Cork",34.77670360110803
100262,EPA-43,Longford Town,30.452635869565217
221866,EPA-63,Wexford Opera House,28.024805555555556
16695,EPA-106,"Leixlip Library, Co. Kildare",27.781818181818185
239305,EPA-66,Tipperary Town,27.073498622589533
49211,EPA-24,"Enniscorthy, Co. Wexford",25.68275204359673
273397,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",24.113591160220995
91620,EPA-39,"People's Park, Limerick",23.160685714285712
205093,EPA-59,"Brownes Road, Waterford",22.546067415730334
358274,EPA-85,"Henry Street, Limerick",21.31876447876448
343119,EPA-83,"Naas, Co. Kildare",20.044576802507837
