,Site,location,month,monthly max mean
0,EPA-102,"Edenderry Library, Co. Offaly",8,8.3
1,EPA-102,"Edenderry Library, Co. Offaly",9,21.273000000000003
31,EPA-102,"Edenderry Library, Co. Offaly",10,34.46032258064516
62,EPA-102,"Edenderry Library, Co. Offaly",11,38.583
92,EPA-102,"Edenderry Library, Co. Offaly",12,97.46548387096773
123,EPA-102,"Edenderry Library, Co. Offaly",1,81.53903225806452
154,EPA-102,"Edenderry Library, Co. Offaly",2,28.748
179,EPA-102,"Edenderry Library, Co. Offaly",3,64.27428571428571
193,EPA-106,"Leixlip Library, Co. Kildare",2,15.594999999999999
201,EPA-106,"Leixlip Library, Co. Kildare",3,34.745714285714286
215,EPA-24,"Enniscorthy, Co. Wexford",3,25.82
233,EPA-24,"Enniscorthy, Co. Wexford",4,29.834
263,EPA-24,"Enniscorthy, Co. Wexford",5,15.001290322580646
294,EPA-24,"Enniscorthy, Co. Wexford",6,11.608387096774194
325,EPA-24,"Enniscorthy, Co. Wexford",7,11.516129032258064
356,EPA-24,"Enniscorthy, Co. Wexford",8,8.994193548387097
387,EPA-24,"Enniscorthy, Co. Wexford",9,12.371
417,EPA-24,"Enniscorthy, Co. Wexford",10,22.948709677419355
448,EPA-24,"Enniscorthy, Co. Wexford",11,40.053
478,EPA-24,"Enniscorthy, Co. Wexford",12,32.10290322580645
509,EPA-24,"Enniscorthy, Co. Wexford",1,74.26322580645162
540,EPA-24,"Enniscorthy, Co. Wexford",2,23.646785714285716
582,EPA-25,"Ennis, Co. Clare",3,87.98375
600,EPA-25,"Ennis, Co. Clare",4,45.91740740740741
627,EPA-25,"Ennis, Co. Clare",5,21.71923076923077
653,EPA-25,"Ennis, Co. Clare",6,12.849666666666668
683,EPA-25,"Ennis, Co. Clare",7,10.096129032258066
714,EPA-25,"Ennis, Co. Clare",8,13.803870967741936
745,EPA-25,"Ennis, Co. Clare",9,18.598000000000003
775,EPA-25,"Ennis, Co. Clare",10,37.799
805,EPA-25,"Ennis, Co. Clare",11,108.12400000000001
835,EPA-25,"Ennis, Co. Clare",12,71.87241379310345
864,EPA-25,"Ennis, Co. Clare",1,138.5916129032258
895,EPA-25,"Ennis, Co. Clare",2,55.36103448275862
938,EPA-39,"People's Park, Limerick",3,41.593809523809526
945,EPA-39,"People's Park, Limerick",4,21.35666666666667
975,EPA-39,"People's Park, Limerick",5,10.881612903225806
1006,EPA-39,"People's Park, Limerick",6,9.285333333333334
1036,EPA-39,"People's Park, Limerick",7,8.065483870967743
1067,EPA-39,"People's Park, Limerick",8,10.3156
1092,EPA-39,"People's Park, Limerick",9,10.578
1122,EPA-39,"People's Park, Limerick",10,14.096774193548388
1153,EPA-39,"People's Park, Limerick",11,29.142666666666667
