,Site,location,daily max mean,month,monthly max mean,count months,count
280525,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,2,22.97964285714286,,12
274828,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,6,11.072500000000002,,12
275553,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,7,9.959032258064518,,12
276306,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,8,10.406538461538464,,12
276863,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,9,14.846333333333332,,12
277603,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,10,21.140000000000004,,12
278348,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,11,38.63466666666667,,12
279069,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,12,25.604838709677416,,12
279813,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,1,37.55838709677419,,12
274154,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,5,16.142666666666667,,12
272984,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,3,47.20187500000001,,12
273397,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,4,31.316666666666666,,12
205093,EPA-59,"Brownes Road, Waterford",77.05708333333332,4,25.94896551724138,,12
204658,EPA-59,"Brownes Road, Waterford",77.05708333333332,3,24.4790625,,12
212095,EPA-59,"Brownes Road, Waterford",77.05708333333332,2,18.144827586206898,,12
211354,EPA-59,"Brownes Road, Waterford",77.05708333333332,1,66.3506451612903,,12
210618,EPA-59,"Brownes Road, Waterford",77.05708333333332,12,36.112592592592605,,12
206193,EPA-59,"Brownes Road, Waterford",77.05708333333332,6,10.92433333333333,,12
209888,EPA-59,"Brownes Road, Waterford",77.05708333333332,11,24.53485714285714,,12
209120,EPA-59,"Brownes Road, Waterford",77.05708333333332,10,14.18225806451613,,12
208417,EPA-59,"Brownes Road, Waterford",77.05708333333332,9,11.770624999999999,,12
207654,EPA-59,"Brownes Road, Waterford",77.05708333333332,8,13.116129032258067,,12
206912,EPA-59,"Brownes Road, Waterford",77.05708333333332,7,9.735483870967744,,12
205774,EPA-59,"Brownes Road, Waterford",77.05708333333332,5,12.29333333333333,,12
143555,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,4,22.817666666666664,,12
144278,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,5,13.94258064516129,,12
145046,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,6,11.646333333333333,,12
145755,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,7,12.904193548387093,,12
147257,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,9,12.830333333333337,,12
147924,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,10,12.85625,,12
149410,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,12,35.30645161290322,,12
150135,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,1,37.63483870967742,,12
150862,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,2,14.168214285714285,,12
143140,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,3,23.8603125,,12
148686,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,11,23.253333333333334,,12
146487,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,8,11.460322580645162,,12
64233,EPA-25,"Ennis, Co. Clare",99.57333333333332,1,138.59161290322584,,12
64975,EPA-25,"Ennis, Co. Clare",99.57333333333332,2,55.36103448275864,,12
57992,EPA-25,"Ennis, Co. Clare",99.57333333333332,4,45.917407407407424,,12
58628,EPA-25,"Ennis, Co. Clare",99.57333333333332,5,21.719230769230762,,12
59178,EPA-25,"Ennis, Co. Clare",99.57333333333332,6,12.849666666666666,,12
59919,EPA-25,"Ennis, Co. Clare",99.57333333333332,7,10.096129032258064,,12
57593,EPA-25,"Ennis, Co. Clare",99.57333333333332,3,87.98375,,12
61401,EPA-25,"Ennis, Co. Clare",99.57333333333332,9,18.598000000000003,,12
62125,EPA-25,"Ennis, Co. Clare",99.57333333333332,10,37.799,,12
62846,EPA-25,"Ennis, Co. Clare",99.57333333333332,11,108.12399999999997,,12
63568,EPA-25,"Ennis, Co. Clare",99.57333333333332,12,71.87241379310345,,12
60663,EPA-25,"Ennis, Co. Clare",99.57333333333332,8,13.803870967741936,,12
48787,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,3,25.820000000000004,,12
56587,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,2,23.64678571428571,,12
49937,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,5,15.001290322580644,,12
50681,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,6,11.60838709677419,,12
51400,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,7,11.516129032258062,,12
52167,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,8,8.994193548387097,,12
52913,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,9,12.371000000000002,,12
53632,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,10,22.94870967741936,,12
55096,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,12,32.10290322580645,,12
55830,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,1,74.26322580645162,,12
49211,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,4,29.834000000000007,,12
54376,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,11,40.053,,12
230082,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,3,61.3978125,,12
