,Site,location,daily max mean,month,monthly max mean,count months,count,highest monthly max mean
272984,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",45.509166666666665,3,47.20187500000001,,12,47.20187500000001
211354,EPA-59,"Brownes Road, Waterford",77.05708333333332,1,66.3506451612903,,12,66.3506451612903
150135,EPA-49,"Davitt Road, Inchicore, Dublin 12",42.225,1,37.63483870967742,,12,37.63483870967742
64233,EPA-25,"Ennis, Co. Clare",99.57333333333332,1,138.59161290322584,,12,138.59161290322584
55830,EPA-24,"Enniscorthy, Co. Wexford",65.26333333333334,1,74.26322580645162,,12,74.26322580645162
236379,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,12,69.54645161290323,,12,69.54645161290323
106850,EPA-43,Longford Town,71.26666666666668,1,60.32096774193548,,12,60.32096774193548
254367,EPA-67,"Macroom, Co. Cork",55.592083333333335,1,81.55483870967741,,12,81.55483870967741
340461,EPA-82,"Mallow, Co. Cork",35.87208333333333,12,45.13312500000001,,12,45.13312500000001
348052,EPA-83,"Naas, Co. Kildare",38.5575,12,37.75096774193548,,12,37.75096774193548
98070,EPA-39,"People's Park, Limerick",38.62958333333333,1,55.146874999999994,,12,55.146874999999994
27317,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,1,34.52225806451613,,12,34.52225806451613
245752,EPA-66,Tipperary Town,55.41625,1,68.27741935483871,,12,68.27741935483871
288527,EPA-71,"Tralee Library, Co. Kerry",55.09666666666667,1,110.16096774193548,,12,110.16096774193548
228316,EPA-63,Wexford Opera House,57.5025,1,91.84096774193547,,12,91.84096774193547
