,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
0,1996,Station 54,Carlow Town,52.839751,-6.931922,EPA-54,EPA-54,0000-00-00,23,333587917.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333587917, 'monitor_id': 1996, 'project_id': 2399, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 19.26, 'pm2_5': 12.85, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 31.79, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 23.1, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66670,2,333587917.0,2399.0,2022-03-24 13:30:00,19.26,12.85,,,,,24-03-2022,13:30,1007.0,16 mins,green
1,2245,Station 78,Cavan Town,53.99356,-7.3628,EPA-78,EPA-78,0000-00-00,23,333584004.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333584004, 'monitor_id': 2245, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': 17.15, 'pm2_5': 13.45, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 23.79, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 17.55, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",55746,2,333584004.0,2399.0,2022-03-24 13:00:00,17.15,13.45,,,,,24-03-2022,13:00,2807.0,46 mins,green
2,1973,Station 25,"Ennis, Co. Clare",52.843206,-8.989332,EPA-25,EPA-25,0000-00-00,25,333020728.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333020728, 'monitor_id': 1973, 'project_id': 2399, 'recorded_at': '2022-03-22 23:00:00', 'pm10': 27.4384, 'pm2_5': 22.6325, 'no2': None, 'o3': None, 'so2': 5.7328, 'co': None, 'date': '22-03-2022', 'time': '23:00', 'secs_since': 139607, 'time_since': '1 day', 'status': 'red'}","{'pm10': {'start': '2022-03-21 23:01:00', 'end': '2022-03-22 23:00:00', 'value': 23.1, 'num_readings': 96, 'percentage_capture': 100}, 'pm2_5': {'start': '2022-03-21 23:01:00', 'end': '2022-03-22 23:00:00', 'value': 17.28, 'num_readings': 96, 'percentage_capture': 100}, 'so2': {'start': '2022-03-22 22:01:00', 'end': '2022-03-22 23:00:00', 'value': 6.28, 'num_readings': 4, 'percentage_capture': 100}}",62256,0,333020728.0,2399.0,2022-03-22 23:00:00,27.4384,22.6325,,,5.7328,,22-03-2022,23:00,139607.0,1 day,red
3,2082,TNO3947,"Ennistymon, Co. Clare",52.9404719,-9.2944376,TNO3947,TNO3947,0000-00-00,19,333588643.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333588643, 'monitor_id': 2082, 'project_id': 2497, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 6.2, 'pm2_5': 4.12, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 15.01, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 10.87, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",76566,1,333588643.0,2497.0,2022-03-24 13:30:00,6.2,4.12,,,,,24-03-2022,13:30,1007.0,16 mins,green
4,2002,Station 60,"Cobh Carrignafoy, Co. Cork",51.855057,-8.287827,EPA-60,EPA-60,0000-00-00,23,333583945.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583945, 'monitor_id': 2002, 'project_id': 2399, 'recorded_at': '2022-03-24 12:00:00', 'pm10': 22.079, 'pm2_5': 16.586100000000002, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '12:00', 'secs_since': 6407, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 25.96, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 19.33, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66710,2,333583945.0,2399.0,2022-03-24 12:00:00,22.079,16.586100000000002,,,,,24-03-2022,12:00,6407.0,1 hour,green
5,1978,Station 30 (Ozone Instrument Issue),Munster Technological University,51.88411,-8.533192,EPA-30,EPA-30,0000-00-00,25,333583877.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583877, 'monitor_id': 1978, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 0, 'co': None, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 25.2, 'num_readings': 22, 'percentage_capture': 22, 'rating': 0}, 'so2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 0.13, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",63005,2,333583877.0,2399.0,2022-03-24 13:00:00,,,,,0.0,,24-03-2022,13:00,2807.0,46 mins,green
6,2014,Station 72,Cork Harbour,51.849479,-8.297432,EPA-72,EPA-72,0000-00-00,25,333583983.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583983, 'monitor_id': 2014, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': 18.4554, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 15.6904, 'co': None, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 34.02, 'num_readings': 24, 'percentage_capture': 25, 'rating': 0}, 'so2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 15.29, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66673,3,333583983.0,2399.0,2022-03-24 13:00:00,18.4554,,,,15.6904,,24-03-2022,13:00,2807.0,46 mins,green
7,3786,Station 104,Cork Lower Glanmire Road,51.902915,-8.444393,EPA-104,EPA-104,0000-00-00,25,333221710.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333221710, 'monitor_id': 3786, 'project_id': 2399, 'recorded_at': '2022-03-23 13:00:00', 'pm10': None, 'pm2_5': None, 'no2': 116.514, 'o3': 46.6927, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '13:00', 'secs_since': 89207, 'time_since': '1 day', 'status': 'red'}","{'o3': {'start': '2022-03-23 05:01:00', 'end': '2022-03-23 13:00:00', 'value': 34.6, 'num_readings': 32, 'percentage_capture': 100}, 'no2': {'start': '2022-03-23 12:01:00', 'end': '2022-03-23 13:00:00', 'value': 88.72, 'num_readings': 4, 'percentage_capture': 100}}",3924,2,333221710.0,2399.0,2022-03-23 13:00:00,,,116.514,46.6927,,,23-03-2022,13:00,89207.0,1 day,red
8,1963,Station 10,"Heatherton Park, Cork",51.881867,-8.457129,EPA-10,EPA-10,0000-00-00,23,333587916.0,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333587916, 'monitor_id': 1963, 'project_id': 2399, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 22.89, 'pm2_5': 16.45, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 24.33, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 19.31, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",57883,2,333587916.0,2399.0,2022-03-24 13:30:00,22.89,16.45,,,,,24-03-2022,13:30,1007.0,16 mins,green
9,2009,Station 67,"Macroom, Co. Cork",51.904843,-8.95249,EPA-67,EPA-67,0000-00-00,25,333583970.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583970, 'monitor_id': 2009, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': 19.62, 'pm2_5': 14.6, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 31.66, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 24.74, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}}",66673,3,333583970.0,2399.0,2022-03-24 13:00:00,19.62,14.6,,,,,24-03-2022,13:00,2807.0,46 mins,green
