,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating
0,1996,Station 54,Carlow Town,52.839751,-6.931922,EPA-54,EPA-54,0000-00-00,23,317917684,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317917684, 'monitor_id': 1996, 'project_id': 2399, 'recorded_at': '2022-02-11 21:30:00', 'pm10': 10.44, 'pm2_5': 5.589, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '21:30', 'secs_since': 169, 'time_since': '2 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 11.97, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 6.99, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",62770,1
1,2245,Station 78,Cavan Town,53.99356,-7.3628,EPA-78,EPA-78,0000-00-00,23,317913514,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913514, 'monitor_id': 2245, 'project_id': 2399, 'recorded_at': '2022-02-11 21:00:00', 'pm10': 5.523, 'pm2_5': 3.785, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '21:00', 'secs_since': 1969, 'time_since': '32 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 10.51, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 6.8, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",51846,1
2,1973,Station 25,"Ennis, Co. Clare",52.843206,-8.989332,EPA-25,EPA-25,0000-00-00,25,317913381,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913381, 'monitor_id': 1973, 'project_id': 2399, 'recorded_at': '2022-02-11 20:00:00', 'pm10': 18.5206, 'pm2_5': 15.9994, 'no2': None, 'o3': None, 'so2': 8.0123, 'co': None, 'date': '11-02-2022', 'time': '20:00', 'secs_since': 5569, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 26, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 22.28, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'so2': {'start': '2022-02-11 19:01:00', 'end': '2022-02-11 20:00:00', 'value': 8.96, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",58508,2
3,2082,TNO3947,"Ennistymon, Co. Clare",52.9404719,-9.2944376,TNO3947,TNO3947,0000-00-00,19,317914729,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 317914729, 'monitor_id': 2082, 'project_id': 2497, 'recorded_at': '2022-02-11 21:15:00', 'pm10': 10.6, 'pm2_5': 8.63, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '21:15', 'secs_since': 1069, 'time_since': '17 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 8.53, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 6.71, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",72701,1
4,2002,Station 60,"Cobh Carrignafoy, Co. Cork",51.855057,-8.287827,EPA-60,EPA-60,0000-00-00,23,317913459,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913459, 'monitor_id': 2002, 'project_id': 2399, 'recorded_at': '2022-02-11 20:00:00', 'pm10': 11.7014, 'pm2_5': 6.6039, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '20:00', 'secs_since': 5569, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 13.08, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 7.5600000000000005, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",62810,1
5,1978,Station 30,Munster Technological University,51.88411,-8.533192,EPA-30,EPA-30,0000-00-00,25,317913387,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913387, 'monitor_id': 1978, 'project_id': 2399, 'recorded_at': '2022-02-11 21:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': 91.8022, 'so2': 24.7464, 'co': None, 'date': '11-02-2022', 'time': '21:00', 'secs_since': 1969, 'time_since': '32 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 45.65, 'num_readings': 23, 'percentage_capture': 23, 'rating': 0}, 'o3': {'start': '2022-02-11 13:01:00', 'end': '2022-02-11 21:00:00', 'value': 87.39, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'so2': {'start': '2022-02-11 20:01:00', 'end': '2022-02-11 21:00:00', 'value': 24.21, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",59101,3
6,2014,Station 72,Cork Harbour,51.849479,-8.297432,EPA-72,EPA-72,0000-00-00,25,317913501,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913501, 'monitor_id': 2014, 'project_id': 2399, 'recorded_at': '2022-02-11 21:00:00', 'pm10': 25.293, 'pm2_5': None, 'no2': None, 'o3': None, 'so2': 15.0755, 'co': None, 'date': '11-02-2022', 'time': '21:00', 'secs_since': 1969, 'time_since': '32 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 15.14, 'num_readings': 24, 'percentage_capture': 25, 'rating': 0}, 'so2': {'start': '2022-02-11 20:01:00', 'end': '2022-02-11 21:00:00', 'value': 14.73, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",62777,1
7,3786,Station 104,Cork Lower Glanmire Road,51.902915,-8.444393,EPA-104,EPA-104,0000-00-00,25,317913553,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913553, 'monitor_id': 3786, 'project_id': 2399, 'recorded_at': '2022-02-11 21:00:00', 'pm10': None, 'pm2_5': None, 'no2': 28.8065, 'o3': 72.0093, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '21:00', 'secs_since': 1969, 'time_since': '32 mins', 'status': 'green'}","{'o3': {'start': '2022-02-11 13:01:00', 'end': '2022-02-11 21:00:00', 'value': 57.29, 'num_readings': 32, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-02-11 20:01:00', 'end': '2022-02-11 21:00:00', 'value': 32.11, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",120,2
8,1963,Station 10 (Instrument Issue),"Heatherton Park, Cork",51.881867,-8.457129,EPA-10,EPA-10,0000-00-00,23,302964951,"{'monitor_type_id': 23, 'name': 'Fidas 200', 'manufacturer': 'Palas', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 302964951, 'monitor_id': 1963, 'project_id': 2399, 'recorded_at': '2022-01-04 16:30:00', 'pm10': 0.0126, 'pm2_5': 0.0126, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '04-01-2022', 'time': '16:30', 'secs_since': 3301369, 'time_since': '1 month', 'status': 'red'}","{'pm10': {'start': '2022-01-03 16:01:00', 'end': '2022-01-04 16:00:00', 'value': 0.02, 'num_readings': 96, 'percentage_capture': 100}, 'pm2_5': {'start': '2022-01-03 16:01:00', 'end': '2022-01-04 16:00:00', 'value': 0.02, 'num_readings': 96, 'percentage_capture': 100}}",56424,0
9,2009,Station 67,"Macroom, Co. Cork",51.904843,-8.95249,EPA-67,EPA-67,0000-00-00,25,317913480,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913480, 'monitor_id': 2009, 'project_id': 2399, 'recorded_at': '2022-02-11 21:00:00', 'pm10': 16.8, 'pm2_5': 9.964, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '21:00', 'secs_since': 1969, 'time_since': '32 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 24.94, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-02-10 21:01:00', 'end': '2022-02-11 21:00:00', 'value': 21.04, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",62773,3
10,2502,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705,EPA-82,EPA-82,0000-00-00,25,317913525,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 317913525, 'monitor_id': 2502, 'project_id': 2399, 'recorded_at': '2022-02-11 20:45:00', 'pm10': 14.9952, 'pm2_5': 9.6895, 'no2': 7.531, 'o3': 85.5357, 'so2': None, 'co': None, 'date': '11-02-2022', 'time': '20:45', 'secs_since': 2869, 'time_since': '47 mins', 'status': 'green'}","{'pm10': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 13.44, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-02-10 20:01:00', 'end': '2022-02-11 20:00:00', 'value': 10.01, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'o3': {'start': '2022-02-11 12:01:00', 'end': '2022-02-11 20:00:00', 'value': 74.05, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'no2': {'start': '2022-02-11 19:01:00', 'end': '2022-02-11 20:00:00', 'value': 10.82, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",38132,3
