,label,location,latitude,longitude
71,Station 103,"Claremorris, Co. Mayo",53.686607,-9.013405
94,Station 13,"Bray, Co. Wicklow",53.187251,-6.121964
57,Station 16,"Portlaoise, Co. Laois",53.036139,-7.288808
34,Station 17,"Ringsend, Dublin 4",53.341787,-6.226506
12,Station 21,University College Cork,51.900018,-8.486343
35,Station 22,"Rathmines, Dublin 6",53.322029,-6.267154
89,Station 24,"Enniscorthy, Co. Wexford",52.50049,-6.57034
2,Station 25,"Ennis, Co. Clare",52.843206,-8.989332
19,Station 29,"Blanchardstown, Dublin 15",53.38539,-6.369211
20,Station 33,"Clonskeagh, Dublin 14",53.311783,-6.235325
28,Station 34,"Dún Laoghaire, Co. Dublin",53.285994,-6.132003
65,Station 39,"People's Park, Limerick",52.658656,-8.628739
66,Station 43,Longford Town,53.725554,-7.791275
40,Station 44,"Tallaght, Dublin 24",53.280699,-6.358851
29,Station 46,"Finglas, Dublin 11",53.390252,-6.305162
31,Station 47,"Marino, Dublin 3",53.368098,-6.22794
33,Station 48,"Phoenix Park, Dublin 8",53.364641,-6.348076
23,Station 49,"Davitt Road, Inchicore, Dublin 12",53.336258,-6.309002
17,Station 50,"Ballyfermot, Dublin 10",53.340159,-6.351706
37,Station 52,"St. Anne's Park, Dublin 5",53.372904,-6.17939
79,Station 53,Roscommon Town,53.629979,-8.194658
0,Station 54,Carlow Town,52.839751,-6.931922
26,Station 55,"Dublin Airport, Swords, Co. Dublin",53.426139,-6.239127
38,Station 57,"St. John’s Road, Kilmainham, Dublin 8",53.345806,-6.294603
84,Station 59,"Brownes Road, Waterford",52.246975,-7.141646
4,Station 60,"Cobh Carrignafoy, Co. Cork",51.855057,-8.287827
93,Station 63,Wexford Opera House,52.338033,-6.462139
14,Station 64,"Letterkenny, Co. Donegal",54.954644,-7.734842
83,Station 66,Tipperary Town,52.47934,-8.157014
9,Station 67,"Macroom, Co. Cork",51.904843,-8.95249
72,Station 68,"Navan, Co. Meath",53.655483,-6.68847
32,Station 69,"Pearse Street, Dublin 2",53.345053,-6.254344
86,Station 70,"Athlone Civic Centre & Library, Co. Westmeath",53.424323,-7.937372
48,Station 71,"Tralee Library, Co. Kerry",52.267115,-9.697958
60,Station 74,"Askeaton, Co. Limerick",52.590446,-8.970515
81,Station 75,"Clonmel, Co. Tipperary",52.354598,-7.698412
27,Station 76,"Dublin Port, Dublin 1",53.351627,-6.203812
1,Station 78,Cavan Town,53.99356,-7.3628
76,Station 79,"Birr, Co. Offaly",53.094459,-7.908588
58,Station 80,"Carrick-on-Shannon, Co. Leitrim",53.944,-8.0865
10,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705
51,Station 83,"Naas, Co. Kildare",53.218113,-6.659089
67,Station 84,"Drogheda, Co. Louth",53.732182,-6.3200354
62,Station 85,"Henry Street, Limerick",52.661291,-8.631649
41,TNO2161,"TU Dublin, Dublin 7",53.357689,-6.287134
36,TNO2162,"Sandymount Green, Dublin 4",53.33192,-6.215766
16,TNO2579,"Amiens Street, Dublin 1",53.352988,-6.248738
64,TNO3839 (Undergoing Calibration),"O'Connell St, Limerick",52.66385,-8.626646
61,TNO3840,"Castletroy, Limerick",52.663114,-8.540401
63,TNO3841,"Mungret, Co. Limerick",52.640063,-8.677259
85,TNO3946,"Dungarvan, Co. Waterford",52.090561,-7.620018
3,TNO3947,"Ennistymon, Co. Clare",52.9404719,-9.2944376
78,TNO3948,"Tullamore, Co. Offaly",53.273135,-7.4966531
59,TNO3951,"Abbeyfeale, Limerick",52.38613,-9.29821
74,TNO3952,Monaghan Town,54.24634,-6.961403
52,TNO3953,"Newbridge, Co. Kildare",53.18019,-6.800826
13,TNO3955,"Buncranna, Co. Donegal",55.137443,-7.456503
54,TNO4157,"Thomastown, Co. Kilkenny",52.5302193,-7.1379192
24,TNO4158,"Deansgrange, Co. Dublin",53.286763,-6.173349
87,TNO4159,"Mullingar, Co. Westmeath",53.525156,-7.337529
50,TNO4160,"Celbridge, Co. Kildare",53.34442,-6.54432
22,TNO4323,"Custom House Quay, Dublin 1",53.347863,-6.243785
25,TNO4325,"Drumcondra Library, Dublin 9",53.369894,-6.259124
21,TNO4435,"Coolock, Dublin 5",53.390542,-6.202395
43,TNO4438,"Weaver Park, Dublin 8",53.338252,-6.280805
75,TNO4465,"Banagher, Co. Offaly",53.190239,-7.986503
69,TNO4468,"Ballina, Co. Mayo",54.11468,-9.152606
42,TNT1088,"Walkinstown Library, Dublin 12",53.318902,-6.32176
18,TNT1296,"Ballymun Library, Dublin 9",53.390433,-6.26527
