,Site,location,site max mean
57593,EPA-25,"Ennis, Co. Clare",52.43842696629213
9701,EPA-102,"Edenderry Library, Co. Offaly",52.0203626943005
281537,EPA-71,"Tralee Library, Co. Kerry",43.3001098901099
230082,EPA-64,"Letterkenny, Co. Donegal",36.44726775956287
247519,EPA-67,"Macroom, Co. Cork",34.77670360110803
99825,EPA-43,Longford Town,30.452635869565206
221445,EPA-63,Wexford Opera House,28.024805555555563
16528,EPA-106,"Leixlip Library, Co. Kildare",27.781818181818178
238875,EPA-66,Tipperary Town,27.07349862258953
48787,EPA-24,"Enniscorthy, Co. Wexford",25.68275204359673
272984,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",24.113591160220995
91478,EPA-39,"People's Park, Limerick",23.160685714285716
204658,EPA-59,"Brownes Road, Waterford",22.546067415730345
358251,EPA-85,"Henry Street, Limerick",21.31876447876448
342949,EPA-83,"Naas, Co. Kildare",20.044576802507827
334153,EPA-82,"Mallow, Co. Cork",19.899538043478255
143140,EPA-49,"Davitt Road, Inchicore, Dublin 12",19.446239782016345
20334,EPA-16,"Portlaoise, Co. Laois",18.593524590163934
490772,TNO4465,"Banagher, Co. Offaly",17.968260869565214
45512,EPA-22,"Rathmines, Dublin 6",17.837899159663863
126144,EPA-47,"Marino, Dublin 3",17.76734972677596
482794,TNO4437-EPA,"Cabra Community College, Dublin 7",17.749062499999997
3515,EPA-101,Greystones Fire Station,17.431692307692295
73998,EPA-33,"Clonskeagh, Dublin 14",17.33242138364779
82965,EPA-34,"Dún Laoghaire, Co. Dublin",17.272118644067795
256095,EPA-68,"Navan, Co. Meath",17.12045325779037
29088,EPA-17,"Ringsend, Dublin 4",16.816572237960333
409319,TNO3951,"Abbeyfeale, Limerick",16.747750000000003
480779,TNO4436-EPA,"Donnybrook, Dublin 4",16.741860465116275
321827,EPA-79,"Birr, Co. Offaly",16.540067567567565
65985,EPA-29,"Blanchardstown, Dublin 15",16.273647058823517
295762,EPA-75,"Clonmel, Co. Tipperary",16.218842975206627
117352,EPA-46,"Finglas, Dublin 11",15.932907608695663
396905,TNO3947,"Ennistymon, Co. Clare",15.887739726027394
304441,EPA-76,"Dublin Port, Dublin 1",15.699390581717449
169479,EPA-53,Roscommon Town,15.691939058171753
178116,EPA-54,Carlow Town,15.492627551020414
272164,EPA-69,"Pearse Street, Dublin 2",15.334999999999999
313066,EPA-78,Cavan Town,14.937356948228874
213123,EPA-60,"Cobh Carrignafoy, Co. Cork",14.906997167138814
195841,EPA-57,"St. John’s Road, Kilmainham, Dublin 8",14.841643835616452
160676,EPA-52,"St. Anne's Park, Dublin 5",14.73215846994535
350538,EPA-84,"Drogheda, Co. Louth",14.235740740740741
389664,TNO3946,"Dungarvan, Co. Waterford",13.900688524590164
108534,EPA-44,"Tallaght, Dublin 24",13.392146739130423
373356,TNO2162-EPA,"Coolock, Dublin 5",13.0375462962963
383682,TNO3839,"O'Connell St, Limerick",12.946442687747034
325349,EPA-80,"Carrick-on-Shannon, Co. Leitrim",12.91129943502825
432609,TNO3955,"Buncranna, Co. Donegal",12.619565217391303
186908,EPA-55,"Dublin Airport, Swords, Co. Dublin",12.174376731301944
134865,EPA-48,"Phoenix Park, Dublin 8",12.105360230547547
17,EPA-10,"Heatherton Park, Cork",12.068243243243243
421491,TNO3953,"Newbridge, Co. Kildare",11.974018691588787
414991,TNO3952,Monaghan Town,11.543465703971119
440231,TNO4157,"Thomastown, Co. Kilkenny",11.535426136363636
378416,TNO2579-EPA,"Amiens Street, Dublin 1",11.435475113122164
14392,EPA-103,"Claremorris, Co. Mayo",10.933298969072167
456997,TNO4159,"Mullingar, Co. Westmeath",10.8976802507837
290274,EPA-74,"Askeaton, Co. Limerick",10.487424892703869
483571,TNO4438-EPA,"Weaver Park, Dublin 8",10.358790849673197
464504,TNO4160,"Celbridge, Co. Kildare",10.26554545454545
403795,TNO3948,"Tullamore, Co. Offaly",10.083034188034194
448599,TNO4158,"Deansgrange, Co. Dublin",9.952937853107338
472359,TNO4324-EPA,"Lord Edward Street, Dublin 2",9.250434782608695
501005,TNT1296-EPA,"Ballymun Library, Dublin 9",8.189943977591037
429108,TNO3954,"Mountrath, Co. Laois",7.451836734693878
475782,TNO4390-EPA,"TU Dublin, Dublin 7",6.952723004694837
17017,EPA-13,"Bray, Co. Wicklow",6.562666666666627
492413,TNT1088-EPA,"Walkinstown Library, Dublin 12",5.644781420765026
364444,TNO2161-EPA,"Custom House Quay, Dublin 1",4.091250000000003
