,Site,location,site max mean
21,EPA-25,"Ennis, Co. Clare",68.92
25379,EPA-71,"Tralee Library, Co. Kerry",55.45659090909091
5184,EPA-102,"Edenderry Library, Co. Offaly",52.020362694300516
46183,EPA-64,"Letterkenny, Co. Donegal",45.31709090909091
15166,EPA-67,"Macroom, Co. Cork",45.220277777777774
94181,EPA-43,Longford Town,37.5845
143387,EPA-63,Wexford Opera House,34.527454545454546
180778,EPA-66,Tipperary Town,33.65663594470046
109178,EPA-24,"Enniscorthy, Co. Wexford",31.15209090909091
20264,EPA-39,"People's Park, Limerick",29.531813953488374
211230,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",27.923395348837207
93695,EPA-106,"Leixlip Library, Co. Kildare",27.781818181818185
156052,EPA-59,"Brownes Road, Waterford",26.57754464285714
77841,EPA-82,"Mallow, Co. Cork",25.08076576576577
9897,EPA-85,"Henry Street, Limerick",23.349049773755656
