,Date and Time,PM10,PM2.5,SO2,Site,location,date and time,date,time,daily mean,daily max,daily max mean
9701,31/08/2021 20:00,12.74,8.3,,EPA-102,"Edenderry Library, Co. Offaly",2021-08-31 20:00:00,2021-08-31,20:00:00,7.592857142857143,8.3,95.00999999999999
9728,01/09/2021 23:00,13.84,8.35,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-01 23:00:00,2021-09-01,23:00:00,6.493750000000001,8.35,95.00999999999999
9749,02/09/2021 20:00,24.54,19.28,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-02 20:00:00,2021-09-02,20:00:00,11.331666666666669,19.28,95.00999999999999
9767,03/09/2021 14:00,27.85,21.63,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-03 14:00:00,2021-09-03,14:00:00,13.38125,21.63,95.00999999999999
9798,04/09/2021 21:00,47.63,41.54,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-04 21:00:00,2021-09-04,21:00:00,21.59958333333333,41.54,95.00999999999999
9821,05/09/2021 20:00,43.72,38.69,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-05 20:00:00,2021-09-05,20:00:00,23.687083333333337,38.69,95.00999999999999
9832,06/09/2021 07:00,30.71,27.6,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-06 07:00:00,2021-09-06,07:00:00,19.433750000000007,27.6,95.00999999999999
9859,07/09/2021 10:00,25.98,23.35,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-07 10:00:00,2021-09-07,10:00:00,14.46583333333333,23.35,95.00999999999999
9891,08/09/2021 18:00,37.21,32.74,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-08 18:00:00,2021-09-08,18:00:00,21.995,32.74,95.00999999999999
9897,09/09/2021 00:00,21.78,18.01,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-09 00:00:00,2021-09-09,00:00:00,8.991666666666667,18.01,95.00999999999999
9924,10/09/2021 03:00,15.83,13.88,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-10 03:00:00,2021-09-10,03:00:00,7.276250000000002,13.88,95.00999999999999
9945,11/09/2021 00:00,6.99,4.31,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-11 00:00:00,2021-09-11,00:00:00,2.580833333333333,4.31,95.00999999999999
9989,12/09/2021 20:00,17.13,14.67,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-12 20:00:00,2021-09-12,20:00:00,4.587916666666666,14.67,95.00999999999999
10014,13/09/2021 21:00,42.05,39.39,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-13 21:00:00,2021-09-13,21:00:00,10.891666666666666,39.39,95.00999999999999
10039,14/09/2021 22:00,30.31,25.57,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-14 22:00:00,2021-09-14,22:00:00,11.782916666666665,25.57,95.00999999999999
10043,15/09/2021 02:00,22.55,19.16,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-15 02:00:00,2021-09-15,02:00:00,7.944999999999998,19.16,95.00999999999999
10072,16/09/2021 07:00,34.32,30.7,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-16 07:00:00,2021-09-16,07:00:00,12.449583333333331,30.7,95.00999999999999
10099,17/09/2021 10:00,19.99,15.59,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-17 10:00:00,2021-09-17,10:00:00,6.207916666666667,15.59,95.00999999999999
10136,18/09/2021 23:00,20.97,18.26,1.83,EPA-102,"Edenderry Library, Co. Offaly",2021-09-18 23:00:00,2021-09-18,23:00:00,7.659166666666668,18.26,95.00999999999999
10137,19/09/2021 00:00,12.93,11.44,1.61,EPA-102,"Edenderry Library, Co. Offaly",2021-09-19 00:00:00,2021-09-19,00:00:00,4.969166666666666,11.44,95.00999999999999
10162,20/09/2021 01:00,21.47,17.1,0.97,EPA-102,"Edenderry Library, Co. Offaly",2021-09-20 01:00:00,2021-09-20,01:00:00,7.620833333333333,17.1,95.00999999999999
10196,21/09/2021 11:00,22.23,19.36,2.26,EPA-102,"Edenderry Library, Co. Offaly",2021-09-21 11:00:00,2021-09-21,11:00:00,9.275833333333333,19.36,95.00999999999999
10219,22/09/2021 10:00,9.96,5.16,1.26,EPA-102,"Edenderry Library, Co. Offaly",2021-09-22 10:00:00,2021-09-22,10:00:00,3.629583333333333,5.16,95.00999999999999
10254,23/09/2021 21:00,20.2,13.96,1.58,EPA-102,"Edenderry Library, Co. Offaly",2021-09-23 21:00:00,2021-09-23,21:00:00,5.316666666666667,13.96,95.00999999999999
